,Year,Conflict name,Dyad name,Where coordinates,Where description,Latitude,Longitude,Country of origin,Region,Deaths civilians
41170,2001,Colombia: Government,Government of Colombia - FARC,AcacÃ­as town,"Jail in the town of Acacias, in the province of Meta, about 150 kilometers (93 miles) southeast of Bogota",3.98695,-73.75797,Colombia,Americas,0
73751,2001,"Macedonia, FYR: Government",Government of North Macedonia - UCK,Skopje city,Radusa region north of the capital,42.0,21.433333,"Macedonia, FYR",Europe,0
108232,2001,Forces of Abdirizak Bihi - Forces of Ahmed Sheikh Buraleh,Forces of Abdirizak Bihi - Forces of Ahmed Sheikh Buraleh,Belet Hawa town,Bulo Hawo town,3.929306,41.874525,Somalia,Africa,8
33958,2001,UNITA - Civilians,UNITA - Civilians,Catabola municipality,Catabola municipality,-12.166667,17.333333,Angola,Africa,9
72165,2001,"Orma, Wardei - Pokomo","Orma, Wardei - Pokomo",Tana River district,Tana River district,-1.5,39.5,Kenya,Africa,7
87739,2001,CPN-M - Civilians,CPN-M - Civilians,Nuwakot district,Nuwakot district,27.91667,85.25,Nepal,Asia,1
109371,2001,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Mutur town,Mutur town,8.45,81.266667,Sri Lanka,Asia,0
47639,2001,"RCD-K-ML  - MLC, RCD-N","RCD-K-ML  - MLC, RCD-N",Beni town,Beni town,0.5,29.466667,Dem. Rep. of the Congo,Africa,0
44119,2001,AUC - Civilians,AUC - Civilians,La Palma village,"DEPARTMENT: ANTIOQUIA
MUNICIPALITY: SAN CARLOS
village of La Palma",6.03746,-74.90603,Colombia,Americas,1
33720,2001,Angola: Government,Government of Angola - UNITA,Caripande town,Caripande town,-12.983333,22.733333,Angola,Africa,0
43826,2001,AUC - Civilians,AUC - Civilians,Barrancabermeja town,"DEPARTMENT: SANTANDER
MUNICIPALITY: BARRANCABERMEJA
 the neighborhoods of
southeastern sector of this municipality",7.065278,-73.854722,Colombia,Americas,3
70192,2001,Israel: Palestine,Government of Israel - PIJ,Jenin refugee camp,"Refugee camp in Jenin, West Bank",32.461110999999995,35.3,Israel,Middle East,0
73739,2001,"Macedonia, FYR: Government",Government of North Macedonia - UCK,Skopje city,north of Skopje,42.0,21.433333,"Macedonia, FYR",Europe,0
44635,2001,AUC - FARC,AUC - FARC,La Gabarra village,"DEPARTMENT: N. DE SANTANDER
MUNICIPALITY: TIBU

El Cuarenta and Filo Seco belonging to the township La Gabarra",9.000916,-72.91085799999998,Colombia,Americas,0
46315,2001,RCD - Civilians,RCD - Civilians,Masimango village,Masimango village,-0.783333,25.55,Dem. Rep. of the Congo,Africa,0
44108,2001,AUC - Civilians,AUC - Civilians,Bello town,"DEPARTMENT: ANTIOQUIA
MUNICIPALITY: BELLO
Paris neighborhood",6.33732,-75.55795,Colombia,Americas,1
87747,2001,CPN-M - Civilians,CPN-M - Civilians,Baglung district,Baglung district,28.41667,83.16667,Nepal,Asia,3
110495,2001,Sudan: Government,Government of Sudan - SPLM/A,Wangkai town,Wangkai town,9.035951,29.478098,Sudan,Africa,0
44323,2001,AUC - Civilians,AUC - Civilians,Cartagena town,"DEPARTMENT: BOLIVAR
MUNICIPALITY: CARTAGENA
neighborhood Boston.",10.399722,-75.514444,Colombia,Americas,1
44630,2001,AUC - FARC,AUC - FARC,Buenavista area,"DEPARTMENT: BOLIVAR
MUNICIPALITY: SANTA ROSA DEL SUR
in the village of Pueblo Gato in the Buenavista district",7.86667,-74.25,Colombia,Americas,0
177951,2001,Government of Venezuela - Civilians,Government of Venezuela - Civilians,Puerto La Cruz town,"Puerto La Cruz, Edo. AnzoÃ¡tegui,",10.21667,-64.61667,Venezuela,Americas,1
73748,2001,"Macedonia, FYR: Government",Government of North Macedonia - UCK,AraÄinovo village,near Aracinovo,42.0264,21.5617,"Macedonia, FYR",Europe,0
44095,2001,AUC - Civilians,AUC - Civilians,AmagÃ¡ municipality,"DEPARTMENT: ANTIOQUIA
MUNICIPALITY: AMAGA
Algarrobo village, El Cementerio village",6.04027,-75.7078,Colombia,Americas,2
44200,2001,AUC - Civilians,AUC - Civilians,BogotÃ¡ city,"DEPARTMENT: CAPITAL DISTRICT
MUNICIPALITY: BOGOTA",4.649178,-74.062827,Colombia,Americas,1
28226,2001,Afghanistan: Government,Government of Afghanistan - UIFSA,Taywara district,Taywara district (Chah-e Abdulan area),33.492041,64.36809699999999,Afghanistan,Asia,0
33996,2001,UNITA - Civilians,UNITA - Civilians,Gabela town,Gabela town,-10.85,14.366667,Angola,Africa,38
61778,2001,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Rajouri district,Rajouri district,33.25,74.25,India,Asia,2
70189,2001,Israel: Palestine,Government of Israel - PIJ,Binyamina town,"Binyamina, Israel",32.522222,34.945,Israel,Middle East,0
41180,2001,Colombia: Government,Government of Colombia - FARC,San JosÃ© del Morro village,"DEPARTMENT: CAUCA
MUNICIPALITY: BOLIVAR

in the inspection from El Morro police",1.85239,-76.92344,Colombia,Americas,0
31980,2001,Algeria: Government,Government of Algeria - GIA,Chlef province,Chlef (region) Chlef province,36.25,1.25,Algeria,Africa,0
61805,2001,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Doda district,Doda district,33.10081,75.6497,India,Asia,8
51170,2001,Ethiopia: Oromiya,Government of Ethiopia - OLF,Borbor,"Borbor, Arero woreda, Borana zone, Oromiya region",4.13333,39.0,Ethiopia,Africa,0
36853,2001,Burundi: Government,Government of Burundi - CNDD-FDD,Gisagara commune,Gisagara commune,-3.205,30.684444,Burundi,Africa,4
59443,2001,India: Assam,Government of India - ULFA,Darrang district,near Suwagpur,26.62195,92.036453,India,Asia,0
51174,2001,Ethiopia: Oromiya,Government of Ethiopia - OLF,Dikahali,"Dikahali, Daro Lebu woreda, West Hararghe zone, Oromiya region",8.13333,40.56667,Ethiopia,Africa,0
31975,2001,Algeria: Government,Government of Algeria - GIA,Sidi bel AbbÃ¨s province,Sidi bel AbbÃ¨s province (Sidi Ali Beladghem village in),34.833333,-0.5,Algeria,Africa,0
40940,2001,Colombia: Government,Government of Colombia - FARC,Lomitas area,"DEPARTMENT: VALLE
MUNICIPALITY: LA CUMBRE
in rural area
of the Lomitas police inspection",3.63333,-76.63333,Colombia,Americas,0
87729,2001,CPN-M - Civilians,CPN-M - Civilians,Dolpa district,Dolpa district,29.16667,83.08333,Nepal,Asia,1
36884,2001,Burundi: Government,Government of Burundi - CNDD-FDD,Cibitoke province,Cibitoke province,-2.8833330000000004,29.25,Burundi,Africa,0
44315,2001,AUC - Civilians,AUC - Civilians,Santa Marta town,"DEPARTMENT: MAGDALENA
MUNICIPALITY: SANTA MARTA

They initially came to the store
El Reposo of the El Yucal neighborhood and they executed Jackeline, Giovanni and JosÃ© Alberto.",11.240791,-74.19904,Colombia,Americas,0
89519,2001,Government of Nigeria - Civilians,Government of Nigeria - Civilians,Ihiala town,Ihiala town,5.85377,6.86026,Nigeria,Africa,10
41033,2001,Colombia: Government,Government of Colombia - FARC,Otobal area,"DEPARTMENT: SANTANDER
MUNICIPALITY: EL PEÃ‘ON
Otobal village",6.13049,-73.86916,Colombia,Americas,0
59414,2001,India: Assam,Government of India - ULFA,Bongaigaon district,Bongaigaon district,26.466667,90.566667,India,Asia,0
73729,2001,"Macedonia, FYR: Government",Government of North Macedonia - UCK,Tetovo town,Velce [Vejce] village near Tetovo,42.0,20.966667,"Macedonia, FYR",Europe,0
110302,2001,LTTE - Civilians,LTTE - Civilians,Jaffna town,Jaffna town (near),9.6567,80.0137,Sri Lanka,Asia,0
44067,2001,AUC - Civilians,AUC - Civilians,Peque town,"Peque village, Antioquia province",7.021225,-75.909262,Colombia,Americas,10
44600,2001,AUC - FARC,AUC - FARC,Juan JosÃ© village,"DEPARTMENT: CORDOBA
MUNICIPALITY: MONTELIBANO
in the corregimientos
Tierradentro, Juan JosÃ© and Puerto LopÃ©z,",7.8,-75.85,Colombia,Americas,7
109383,2001,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Bandaranaike International airport,Bandaranaike International Airport,7.1756,79.8823,Sri Lanka,Asia,0
43731,2001,ELN - Civilians,ELN - Civilians,Gramalote town,"near Gramalote village, northeast Colombia",7.8875199999999985,-72.79749,Colombia,Americas,2
43431,2001,FARC - Civilians,FARC - Civilians,Agua Caliente village,"DEPARTMENT: CAQUETA
MUNICIPALITY: FLORENCIA
 road that connects Morelia with BelÃ©n de Los AndaquÃ­es",1.47,-75.77404,Colombia,Americas,4
87307,2001,Government of Nepal - Civilians,Government of Nepal - Civilians,Jumla district,Jumla district,29.27528,82.18333,Nepal,Asia,1
43986,2001,AUC - Civilians,AUC - Civilians,CÃºcuta town,"DEPARTMENT: N. DE SANTANDER
MUNICIPALITY: CUCUTA
home located on Av. 5
No. 7-03, La Victoria neighborhood",7.893907,-72.50782099999998,Colombia,Americas,1
33961,2001,UNITA - Civilians,UNITA - Civilians,Benguela town,"Benguela town (near) (Chipupa town, on road between Benguela city and Dombe Grande, 20 km away)",-12.578333,13.407222,Angola,Africa,4
43708,2001,ELN - Civilians,ELN - Civilians,El PeÃ±ol town,"DEPARTMENT: ANTIOQUIA
MUNICIPALITY: PEÃ‘OL
 in the neighborhood Cumbre, Calle BolÃ­var",6.21822,-75.24301,Colombia,Americas,1
42809,2001,Colombia: Government,Government of Colombia - ELN,Azogue village,"DEPARTMENT: CAUCA
MUNICIPALITY: CAJIBIO
village of Azogue",2.64208,-76.77615,Colombia,Americas,0
42816,2001,Colombia: Government,Government of Colombia - ELN,Santa Isabel town,"DEPARTMENT: CESAR
MUNICIPALITY: CURUMANI
Santa Isabel district",3.81667,-76.75,Colombia,Americas,0
43978,2001,AUC - Civilians,AUC - Civilians,PopayÃ¡n town,"DEPARTMENT: CAUCA
MUNICIPALITY: POPAYAN
 home located
in the San JosÃ© neighborhood",3.2775,-75.62138900000002,Colombia,Americas,4
41080,2001,Colombia: Government,Government of Colombia - FARC,Valledupar municipality,"DEPARTMENT: CESAR
MUNICIPALITY: VALLEDUPAR",10.416667,-73.583333,Colombia,Americas,0
72791,2001,Guinea: Government,Government of Guinea - RFDG,Foya town,"Foya town, Foya district, Lofa county",8.278611,-10.280556,Liberia,Africa,0
41079,2001,Colombia: Government,Government of Colombia - FARC,El Tigre village,"DEPARTMENT: RISARALDA
MUNICIPALITY: BELEN DE UMBRIA
village of El Tigre",5.17647,-75.89721,Colombia,Americas,0
40933,2001,Colombia: Government,Government of Colombia - FARC,Sucre town,"outside the town of Sucre in Santander state

///

DEPARTMENT: SANTANDER
MUNICIPALITY: SUCRE
at the Loma Candela and RÃ­o Minero sites",5.91833,-73.79109,Colombia,Americas,0
101697,2001,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,selo Vedeno,Vedeno region,42.9595,46.1134,Russia (Soviet Union),Europe,0
40847,2001,Colombia: Government,Government of Colombia - FARC,Los Laureles area,"DEPARTMENT: HUILA
MUNICIPALITY: BARAYA
the Los Laureles police inspection",3.13278,-75.01056,Colombia,Americas,0
52074,2002,Anuak - Dinka,Anuak - Dinka,Pinyudo town,"Pinyudo refugee camp, Abobo woreda, Administrative zone 2, Gambella region",7.75,34.5,Ethiopia,Africa,0
43500,2002,FARC - Civilians,FARC - Civilians,Vista Hermosa town,a village near Vista Hermosa,3.124283,-73.751561,Colombia,Americas,0
87318,2002,Government of Nepal - Civilians,Government of Nepal - Civilians,Surkhet district,Surkhet district,28.51746,81.7787,Nepal,Asia,1
55823,2002,India: Kashmir,Government of India - Kashmir insurgents,LoC Poonch district,Line of Control [LoC] in Punch sector,33.75,74.01,India,Asia,0
45251,2002,Government of Dem. Rep. of the Congo - Civilians,Government of Dem. Rep. of the Congo - Civilians,Mwanza area,"Mwanza area (Kimiba, Mwanza area)",-7.914125999999999,26.745831,Dem. Rep. of the Congo,Africa,7
100224,2002,Philippines: Mindanao,Government of Philippines - MILF,Lambayong town,Lambayon town (near),6.7972220000000005,124.63361100000002,Philippines,Asia,0
55839,2002,India: Kashmir,Government of India - Kashmir insurgents,Handwara town,Magam-Handwara in Kupwara district,34.336275,74.235023,India,Asia,0
33765,2002,Angola: Government,Government of Angola - UNITA,N'dalatando town,N'dalatando town,-9.3,14.916667000000002,Angola,Africa,0
45050,2002,Uganda: Government,Government of Uganda - ADF,Beni - Bunia road,Beni-Bunia road in the eastern part of the Democratic Republic of the Congo (DRC),0.88,29.61,Dem. Rep. of the Congo,Africa,0
51211,2002,Ethiopia: Oromiya,Government of Ethiopia - OLF,West Welega zone,"Dimbe, West Welega zone, Oromiya region",9.17283,35.05279,Ethiopia,Africa,0
63821,2002,Indonesia: Aceh,Government of Indonesia - GAM,East Aceh regency,Paya Raya in East Aceh on Sunday,4.616667,97.616667,Indonesia,Asia,0
101718,2002,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,selo Duba-Yurt,near the village of Duba-Yurt [southern Chechnya].,43.0397,45.7293,Russia (Soviet Union),Europe,0
77030,2002,Santiago Xochiltepec - Santo Domingo Teojomulco,Santiago Xochiltepec - Santo Domingo Teojomulco,Agua FrÃ­a village,"place known as Agua Fria, Oaxaca",16.555320000000002,-96.95323,Mexico,Americas,0
41284,2002,Colombia: Government,Government of Colombia - FARC,Puerto Rico municipality,"DEPARTMENT: META
MUNICIPALITY: PUERTO RICO
rural zone",2.78273,-73.13956,Colombia,Americas,0
43498,2002,FARC - Civilians,FARC - Civilians,San JosÃ© de ApartadÃ³ town,"Montesol estate (Villa Lucia banana farm) just outside the northeastern village of San Jose de Apartado, Turbo (Uraba). Nearest town to the banana plantation is Apartado",7.85601,-76.57731,Colombia,Americas,9
100517,2002,Philippines: Mindanao,Government of Philippines - ASG,Zamboanga City town,"Zamboanga City town (outskirts of, Lower Calarian barangay)",6.910255,122.071715,Philippines,Asia,0
70637,2002,Israel: Palestine,Government of Israel - PNA,Dir al-Sudan village,"Dir al-Sudan village, West Bank",32.033056,35.148333,Israel,Middle East,0
55712,2002,India: Kashmir,Government of India - Kashmir insurgents,Baramulla district,Lurihama in Baramulla district,34.19287,74.3692,India,Asia,0
55687,2002,India: Kashmir,Government of India - Kashmir insurgents,Udhampur district,"Udhampur, Duksar-Sangaldan",33.0,75.16667,India,Asia,0
41337,2002,Colombia: Government,Government of Colombia - FARC,Meta department,Meta province,3.5,-73.0,Colombia,Americas,0
44416,2002,AUC - Civilians,AUC - Civilians,Buenaventura town,"near the port of Buenaventura, Valle del Cauca province",3.880099,-77.031164,Colombia,Americas,4
69130,2002,Israel: Palestine,Government of Israel - Hamas,Jenin town,"Jenin town, West Bank",32.459433000000004,35.300857,Israel,Middle East,0
63932,2002,Indonesia: Aceh,Government of Indonesia - GAM,Simpang Ulin,Simpang Ulin district in eastern Aceh,5.099193,97.567292,Indonesia,Asia,0
55999,2002,India: Kashmir,Government of India - Kashmir insurgents,Beerwah town,"Gundipora-Beerwa, Badgam",33.972846000000004,74.56110699999998,India,Asia,0
68975,2002,Israel: Palestine,Government of Israel - Fatah,Beitunia town,"Betunia town, WB",31.888956,35.167533,Israel,Middle East,0
86960,2002,Nepal: Government,Government of Nepal - CPN-M,Lalitpur district,Lalitpur district,27.58333,85.33333,Nepal,Asia,1
41231,2002,Colombia: Government,Government of Colombia - FARC,Dabeiba municipality,"DEPARTMENT: ANTIOQUIA
MUNICIPALITY: DABEIBA
in the Cajons site",7.0,-76.25,Colombia,Americas,0
85174,2002,Government of Myanmar (Burma) - Civilians,Government of Myanmar (Burma) - Civilians,Myanmar (Burma),Myanmar (Burma) (Karen villages),22.0,98.0,Myanmar (Burma),Asia,15
43519,2002,FARC - Civilians,FARC - Civilians,Venecia municipality,"municipality of Venecia, located 100 kilometers (65 miles) southwest of the capital",4.08861,-74.4775,Colombia,Americas,1
60130,2002,PWG - Civilians,PWG - Civilians,"Manchavaram village, Manchavaram sub-district",Machavaram mandal,16.560725,79.874034,India,Asia,1
68958,2002,Israel: Palestine,Government of Israel - Fatah,Dura village,"Dura area, near Hebron, West Bank",31.506792,35.027717,Israel,Middle East,0
70649,2002,Israel: Palestine,Government of Israel - PNA,Al-Yamun town,Al-Yamoun village,32.486486,35.23527199999999,Israel,Middle East,0
41263,2002,Colombia: Government,Government of Colombia - FARC,Gachala village,"DEPARTMENT: CUNDINAMARCA
MUNICIPALITY: GACHALA
vicinity of the
of the El Guavio dam",4.69244,-73.52042,Colombia,Americas,0
63968,2002,Indonesia: Aceh,Government of Indonesia - GAM,Meureudu town,Meureudu in Pidie,4.988283999999998,96.280086,Indonesia,Asia,0
53236,2002,India: Government,Government of India - MCC,Chandauli district,Baira Pahadi area under the Chakia police station in Chandauli district,25.204716,83.20189599999998,India,Asia,0
44434,2002,AUC - Civilians,AUC - Civilians,Cartagena town,near Cartagena.,10.399722,-75.514444,Colombia,Americas,1
61863,2002,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Shopian town,Shopian,33.706088,74.844238,India,Asia,5
41208,2002,Colombia: Government,Government of Colombia - FARC,IbaguÃ© town,"Picalena Jail in Ibague, Tolima Dept.",4.438889,-75.232222,Colombia,Americas,0
55803,2002,India: Kashmir,Government of India - Kashmir insurgents,Rafiabad town,Malganipora-Rafiabad and Bankote in Baramulla district,34.211110999999995,74.34083299999998,India,Asia,0
71200,2002,AMB - Civilians,AMB - Civilians,Hadera town,"Hadera town, Israel",32.45,34.916667,Israel,Middle East,6
55770,2002,India: Kashmir,Government of India - Kashmir insurgents,Kalakote village,Kalakote area of Rajauri distric,33.187490999999994,74.395393,India,Asia,0
64278,2002,Government of Indonesia - Civilians,Government of Indonesia - Civilians,Banda Aceh town,near Banda Aceh,5.55,95.316667,Indonesia,Asia,0
56129,2002,India: Kashmir,Government of India - Kashmir insurgents,Kupwara district,"Dardpora-Lolab, Kupwara",34.372601,74.167293,India,Asia,0
87325,2002,Government of Nepal - Civilians,Government of Nepal - Civilians,Panchathar district,Panchathar district,27.16667,87.83333,Nepal,Asia,1
32095,2002,Algeria: Government,Government of Algeria - AQIM,Blida town,"Blida town (near), Blida district, Blida province",36.470039,2.827699,Algeria,Africa,0
87328,2002,Government of Nepal - Civilians,Government of Nepal - Civilians,Baglung district,Baglung district,28.41667,83.16667,Nepal,Asia,3
43521,2002,FARC - Civilians,FARC - Civilians,San Juan de Arama town,"near San Juan de Arama, some 250 kilometers (155 miles) south of Bogota",3.369851,-73.872668,Colombia,Americas,2
175292,2002,Uganda: Government,Government of Uganda - LRA,Odokomit village,Odokomit village,2.6421810000000003,33.273636,Uganda,Africa,0
62830,2002,VHP - Civilians,VHP - Civilians,Gujarat state,Gujarat,23.0,71.75,India,Asia,0
42967,2002,Colombia: Government,Government of Colombia - ELN,CÃºcuta town,"Cucuta town, near the Venezuelan border",7.893907,-72.50782099999998,Colombia,Americas,3
70931,2002,Government of Israel - Civilians,Government of Israel - Civilians,Bethlehem town,"Bethlehem town, West Bank",31.704874,35.203762,Israel,Middle East,2
56150,2002,India: Kashmir,Government of India - Kashmir insurgents,Surankote village,"Punch
Surankote",33.590951000000004,74.307262,India,Asia,0
45049,2002,Uganda: Government,Government of Uganda - ADF,Isale location,Isale location (Isale mountain forests),0.124086,29.4175,Dem. Rep. of the Congo,Africa,0
63898,2002,Indonesia: Aceh,Government of Indonesia - GAM,Kreung Merriam village,"Krueng Meuriam village, Pidie",4.993321,95.934204,Indonesia,Asia,0
44523,2002,AUC - Civilians,AUC - Civilians,Valledupar town,a mountain village near Valledupar,10.46314,-73.253224,Colombia,Americas,4
63970,2002,Indonesia: Aceh,Government of Indonesia - GAM,Darul Makmur town,"Darul Makmur, Nagan Raya",4.002581,96.535644,Indonesia,Asia,0
32182,2002,Algeria: Government,Government of Algeria - AQIM,Telagh commune,"Telagh District (Chabchoub forest in the Tamalaka region in the administrative district of Telagh), Sidi bel AbbÃ¨s province",34.783333,-0.566667,Algeria,Africa,0
44477,2002,AUC - Civilians,AUC - Civilians,Casabe town,"the Y de Los Viejitos DEPARTMENT: ANTIOQUIA
MUNICIPALITY: YONDO (CASABE)",7.028060000000001,-73.89010999999998,Colombia,Americas,1
41360,2002,Colombia: Government,Government of Colombia - FARC,Barbacoas municipality,"La Pena town, located near the municipality of Barbacoas in the province of Narino, some 800 kilometers (497 miles) southwest of Bogota",1.58333,-78.0,Colombia,Americas,1
47640,2002,"RCD-K-ML  - MLC, RCD-N","RCD-K-ML  - MLC, RCD-N",Isiro town,"between Isiro and Buta, in the northeast of the DRC",2.766667,27.616667,Dem. Rep. of the Congo,Africa,0
55960,2002,India: Kashmir,Government of India - Kashmir insurgents,LoC Poonch district,Punch,33.75,74.01,India,Asia,0
110518,2002,Sudan: Government,Government of Sudan - SPLM/A,Akuem town,Akuem town,8.956506,27.51455,Sudan,Africa,0
101714,2002,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Argun,Argun town,43.2917,45.8724,Russia (Soviet Union),Europe,0
50597,2002,Ethiopia: Ogaden,Government of Ethiopia - ONLF,Abba Qorro village,"Abba Qorro village, West Imi woreda, Afder zone, Somali region",6.163697,42.49458900000001,Ethiopia,Africa,0
30088,2002,Jam'iyyat-i Islami-yi Afghanistan - Junbish-i Milli-yi Islami,Jam'iyyat-i Islami-yi Afghanistan - Junbish-i Milli-yi Islami,Qalay-I-Zal district,Qalay-i Zal district,36.896746,68.36106099999999,Afghanistan,Asia,0
101809,2002,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,selo Elistanzhi,Elistanzhi,42.9705,46.0174,Russia (Soviet Union),Europe,0
175747,2002,LRA - Civilians,LRA - Civilians,Apac district,Apac district,2.08333,32.58333,Uganda,Africa,4
101715,2002,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Shalinskiy rayon,Shalinskiy,43.177,45.8938,Russia (Soviet Union),Europe,0
108221,2002,USC/SSA - USC/SSA - OMF,USC/SSA - USC/SSA - OMF,Mogadishu city,Mogadishu city,2.066667,45.366667,Somalia,Africa,7
32098,2002,Algeria: Government,Government of Algeria - AQIM,Sidi Ali Bounab forest,"Sidi Ali Bounab village, Naciria district, Boumerdes province",36.7,3.866667,Algeria,Africa,0
44448,2002,AUC - Civilians,AUC - Civilians,Ipiales municipality,"Hotel Colombia, in the municipality of Ipiales, NariÃ±o",0.583333,-77.416667,Colombia,Americas,7
44475,2002,AUC - Civilians,AUC - Civilians,Barrancabermeja town,"Las Americas sector DEPARTMENT: SANTANDER
MUNICIPALITY: BARRANCABERMEJA",7.065278,-73.854722,Colombia,Americas,1
44354,2002,AUC - Civilians,AUC - Civilians,Orihueca village,"La Maria Luisa' farm, in the village of Orihueca, municipality of Zona Bananera, Magdalena",10.8388,-74.17074000000002,Colombia,Americas,5
70694,2002,Israel: Palestine,Government of Israel - AMB,Tammun town,"Tammoun village, West Bank",32.284167,35.385833,Israel,Middle East,0
64416,2002,Jemaah Islamiya - Civilians,Jemaah Islamiya - Civilians,Kuta town,"Kuta Beach, Bali",-8.733333,115.166667,Indonesia,Asia,202
51196,2002,Ethiopia: Oromiya,Government of Ethiopia - OLF,Abobo town,"Abobo town (around),  Abobo wereda, Administrative zone 2, Gambella region",7.85,34.55,Ethiopia,Africa,0
44444,2002,AUC - Civilians,AUC - Civilians,El LimÃ³n village,"village of El Limon, outside Riohacha on the Guajira peninsula",11.06417,-73.13972,Colombia,Americas,12
101825,2002,Russia (Soviet Union): Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,selo Yalkhoy-Mokhk,Yalkhoy-Mokhk in Gudermesskiy District,43.105775,46.189971,Russia (Soviet Union),Europe,0
41389,2002,Colombia: Government,Government of Colombia - FARC,Mesetas municipality,"in the countryside near the municipality of Mesetas, in the eastern Meta province",3.155578,-74.09938299999997,Colombia,Americas,0
41381,2002,Colombia: Government,Government of Colombia - FARC,Sierra Nevada de Santa Marta,near Colombia's northern Sierra Nevada de Santa Marta,10.82838,-73.69251,Colombia,Americas,4
56117,2002,India: Kashmir,Government of India - Kashmir insurgents,Machil sector,Machil sector of Kupwara district,34.69238,74.35925,India,Asia,0
