,year,country_origin,recognized_decisions,complementary_protection,rejected,otherwise_closed,total_decisions,disaster_deaths,disaster_affected,conflict_deaths
207,2004,Yemen (North Yemen),0,0,0,0,0,0,0,0
208,2005,Afghanistan,2514,2417,12382,6520,23833,276,18544,196
209,2005,Algeria,678,71,5617,1775,8141,11,70,26
210,2005,Angola,875,559,4077,1353,6864,0,0,7
211,2005,Armenia,1688,382,5053,1443,8566,0,0,0
212,2005,Azerbaijan,1156,602,5470,1203,8431,0,0,0
213,2005,Bangladesh,1103,234,6810,2500,10647,258,1173000,16
214,2005,Brazil,66,0,278,601,945,49,41344,32
215,2005,Burundi,1927,965,1267,1663,5822,120,2150000,113
216,2005,Cameroon,1087,112,3262,811,5272,0,0,0
217,2005,Central African Republic,0,0,0,0,0,1,23805,8
218,2005,Chad,421,15,690,270,1396,0,0,167
219,2005,China,4743,197,20354,6368,31662,941,66773825,12
220,2005,Colombia,8270,259,8223,4868,21620,180,601866,164
221,2005,Congo,1332,181,3996,779,6288,0,0,6
222,2005,Dem. Rep. of the Congo,7957,791,15363,4461,28572,6,1505,271
223,2005,Egypt,410,29,924,351,1714,0,0,88
224,2005,Ethiopia,3549,780,4339,2700,11368,156,235418,57
225,2005,Gambia,72,10,664,320,1066,0,0,8
226,2005,Guatemala,415,0,2445,28615,31475,1583,477849,2
227,2005,Guinea,1135,144,3951,1082,6312,0,0,3
228,2005,Haiti,3152,0,10330,5057,18539,70,39478,39
229,2005,India,770,51,7055,4253,12129,3660,28443213,537
230,2005,Indonesia,5986,186,1968,1096,9236,1095,126797,32
231,2005,Iran,0,0,0,0,0,0,0,1
232,2005,Iraq,1831,5754,18251,4955,30791,0,0,1016
233,2005,Israel,201,5,610,195,1011,0,0,70
234,2005,Ivory Coast,0,0,0,0,0,0,0,9
235,2005,Jordan,96,27,635,272,1030,0,0,59
236,2005,Kenya,238,19,826,311,1394,53,3536200,7
237,2005,Lebanon,223,79,1936,573,2811,0,0,0
238,2005,Mali,94,0,1541,580,2215,0,0,0
239,2005,Mexico,786,0,3597,9719,14102,78,2982571,0
240,2005,Mozambique,0,0,15,5,20,16,29012,1
241,2005,Myanmar (Burma),0,0,0,0,0,0,0,191
242,2005,Nepal,460,22,1262,431,2175,51,1600,194
243,2005,Nigeria,805,253,10432,3287,14777,60,3004,9
244,2005,Pakistan,1655,189,9098,3566,14508,74080,12655552,25
245,2005,Peru,392,16,1055,493,1956,5,2505,0
246,2005,Philippines,57,15,423,348,843,0,0,30
247,2005,Russia (Soviet Union),0,0,0,0,0,0,0,50
248,2005,Saudi Arabia,28,10,20,29,87,29,67,0
249,2005,Senegal,73,0,365,150,588,0,0,45
250,2005,Somalia,17799,3573,6757,3313,31442,12,7520,20
251,2005,Sri Lanka,2920,257,7675,1665,12517,6,145000,12
252,2005,Sudan,12084,915,3804,1511,18314,0,0,655
253,2005,Tajikistan,40,5,165,48,258,24,5175,0
254,2005,Thailand,92,5,148,44,289,86,821310,136
255,2005,Togo,784,258,2105,14360,17507,0,0,386
256,2005,Turkey,3749,563,18080,5550,27942,34,581,7
257,2005,Uganda,2352,38,924,235,3549,0,0,279
258,2005,United Kingdom,0,0,0,0,0,0,0,53
259,2005,Venezuela,0,0,0,0,0,0,0,28
260,2006,Afghanistan,1964,2522,9318,4023,17827,286,332175,455
261,2006,Algeria,252,129,3520,739,4645,5,60319,45
262,2006,Angola,338,341,2349,372,3405,0,0,0
263,2006,Armenia,988,302,3793,1048,6131,0,0,0
264,2006,Azerbaijan,389,410,1757,620,3176,0,0,0
265,2006,Bangladesh,631,180,8037,1939,10782,150,17999,5
266,2006,Brazil,84,5,316,219,624,8,116000,5
267,2006,Burundi,872,623,798,1192,3480,11,8200,50
268,2006,Central African Republic,0,0,0,0,0,0,0,141
269,2006,Chad,489,10,1351,1279,3129,0,0,570
270,2006,Colombia,6382,260,6120,4748,17510,150,221465,94
271,2006,Dem. Rep. of the Congo,5081,565,10216,6720,22582,4,80566,210
272,2006,Egypt,476,15,1131,374,1996,0,0,0
273,2006,Ethiopia,3435,602,4442,3409,11903,951,424146,20
274,2006,Guinea,1045,191,3341,542,5119,0,0,15
275,2006,India,903,47,4700,3457,9097,1175,7334478,653
276,2006,Indonesia,1203,21,2210,872,4306,7376,3957203,3
277,2006,Iran,0,0,0,0,0,0,0,0
278,2006,Iraq,2531,6745,10806,6125,26207,20,18020,710
279,2006,Israel,72,16,384,245,717,0,0,129
280,2006,Ivory Coast,0,0,0,0,0,0,0,8
281,2006,Kenya,203,10,679,246,1138,212,783300,24
282,2006,Kyrgyzstan,106,20,325,142,593,0,0,0
283,2006,Laos,0,0,0,0,0,0,0,73
284,2006,Lebanon,157,91,1407,923,2578,0,0,535
285,2006,Mexico,1040,0,2827,6096,9963,15,270700,1
286,2006,Myanmar (Burma),0,0,0,0,0,0,0,170
287,2006,Nepal,525,41,1396,395,2357,147,80000,108
288,2006,Nigeria,507,534,7947,1769,10732,40,1000,19
289,2006,Pakistan,1377,265,8254,2759,12670,473,8230,29
290,2006,Peru,220,10,980,306,1516,0,0,5
291,2006,Philippines,49,11,346,281,687,0,0,21
292,2006,Russia (Soviet Union),0,0,0,0,0,0,0,11
293,2006,Saudi Arabia,33,0,20,11,64,0,0,2
294,2006,Senegal,170,15,426,95,706,0,0,1
295,2006,Somalia,25690,2956,3918,12694,45273,97,486500,82
296,2006,Sri Lanka,2047,249,6447,1364,10117,25,333002,356
297,2006,Sudan,5158,899,3005,881,9958,0,0,764
298,2006,Tajikistan,25,19,25,60,129,25,29155,0
299,2006,Thailand,54,0,98,46,198,280,2555308,95
300,2006,Turkey,1944,522,11741,2701,16948,47,63015,7
301,2006,Uganda,214,74,643,185,1116,3,1680,57
302,2006,United Kingdom,0,0,0,0,0,0,0,0
303,2006,Venezuela,0,0,0,0,0,0,0,21
304,2007,Afghanistan,2831,3253,8121,3107,17308,260,30255,645
305,2007,Algeria,284,170,3110,1087,4651,15,1305,31
306,2007,Angola,414,286,1553,329,2582,105,40000,1
307,2007,Azerbaijan,657,293,1419,559,2928,0,0,0
308,2007,Bangladesh,655,459,7886,1601,10601,5635,22930206,0
309,2007,Brazil,63,0,134,333,530,66,202638,5
310,2007,Burundi,1162,685,1244,313,3404,4,23000,20
311,2007,Cambodia (Kampuchea),0,0,0,0,0,0,0,2
312,2007,Central African Republic,0,0,0,0,0,1,7812,129
313,2007,Chad,588,15,754,779,2136,15,173000,220
314,2007,China,5916,415,12048,4918,23297,1119,118848776,0
315,2007,Colombia,3909,2196,8499,1827,16431,218,2671487,49
316,2007,Congo,602,136,2053,396,3187,0,0,0
317,2007,Dem. Rep. of the Congo,5573,3108,8544,3470,20695,32,1600,254
318,2007,Ethiopia,4072,689,3862,6873,15496,22,241586,240
319,2007,France,0,0,15,25,40,0,0,0
320,2007,Guatemala,556,0,5330,9258,15144,11,656,5
321,2007,Guinea,1340,230,2845,583,4998,0,0,42
322,2007,India,530,71,4292,2748,7641,2061,38143025,553
323,2007,Indonesia,657,0,1441,747,2845,561,1191564,2
324,2007,Iran,0,0,0,0,0,0,0,1
325,2007,Iraq,17358,16579,13889,7722,55546,0,0,1707
326,2007,Israel,47,5,324,148,524,0,0,58
327,2007,Ivory Coast,0,0,0,0,0,0,0,2
328,2007,Kenya,2929,36,733,221,3919,39,42657,125
329,2007,Mali,317,42,693,135,1187,18,88858,12
330,2007,Mauritania,487,10,1601,384,2482,3,54120,4
331,2007,Mexico,491,0,3080,5215,8786,36,1773000,6
332,2007,Myanmar (Burma),0,0,0,0,0,0,0,286
333,2007,Nepal,478,61,1304,440,2283,214,640706,1
334,2007,Niger,25,23,260,57,365,0,0,20
335,2007,Nigeria,444,676,8567,2234,11921,68,50000,4
336,2007,Pakistan,1035,330,13792,3379,18536,729,1652711,180
337,2007,Peru,197,5,2794,256,3252,677,1590617,1
338,2007,Philippines,37,16,335,231,619,0,0,40
339,2007,Russia (Soviet Union),0,0,0,0,0,0,0,4
340,2007,Saudi Arabia,5,0,10,18,33,0,0,0
341,2007,Somalia,19374,4974,3491,28515,56354,25,10012,277
342,2007,Sri Lanka,4020,577,6678,1802,13077,33,156000,104
343,2007,Sudan,1432,535,2653,1456,6076,0,0,203
344,2007,Tanzania,0,0,0,0,0,0,0,3
345,2007,Thailand,5,5,78,47,135,15,182000,140
346,2007,Turkey,2079,714,8820,2741,14354,16,3186,13
347,2007,Uganda,245,27,706,472,1450,33,721045,20
348,2007,Venezuela,0,0,0,0,0,0,0,14
349,2007,Zimbabwe (Rhodesia),0,0,0,0,0,0,0,0
350,2008,Afghanistan,4170,4250,11588,3203,23211,1317,170684,745
351,2008,Algeria,154,113,2133,960,3360,93,59050,57
352,2008,Angola,253,251,891,120,1515,7,81400,1
353,2008,Azerbaijan,521,135,1363,277,2296,0,0,0
354,2008,Bangladesh,539,184,6684,1026,8433,68,636090,3
355,2008,Brazil,64,0,174,144,377,203,1753991,10
356,2008,Burundi,1673,158,1170,270,3271,9,3275,8
357,2008,Cambodia (Kampuchea),0,0,0,0,0,0,0,0
358,2008,Cameroon,695,106,1733,597,3131,9,25000,0
359,2008,Central African Republic,0,0,0,0,0,0,0,8
360,2008,Chad,726,81,963,959,2729,0,0,4
361,2008,China,5592,425,11711,2927,20655,88376,133138935,51
362,2008,Colombia,3310,4373,7609,1918,17210,130,1209868,42
363,2008,Congo,369,96,1252,1000,2717,0,0,0
364,2008,Dem. Rep. of the Congo,10568,527,6026,7244,24365,36,17865,909
365,2008,Djibouti,47,0,25,0,72,0,0,0
366,2008,Ecuador,35,5,115,140,295,41,289122,0
367,2008,Egypt,418,5,1041,393,1857,98,697,0
368,2008,Eritrea,17383,13852,2531,26061,59827,0,0,0
369,2008,Ethiopia,5463,796,3828,4035,14122,45,116440,1
370,2008,Georgia,290,566,5914,1300,8070,0,0,3
371,2008,Ghana,57,129,2066,345,2597,0,0,9
372,2008,Guatemala,459,0,2989,5976,9424,30,197300,0
373,2008,Guyana,29,0,77,37,143,0,0,20
374,2008,Honduras,57,5,165,308,535,67,313357,0
375,2008,India,501,39,3575,2003,6118,1590,13928790,627
376,2008,Indonesia,496,0,1339,659,2494,123,391408,5
377,2008,Iran,0,0,0,0,0,0,0,0
378,2008,Iraq,19735,8408,19181,5858,53182,4,600,554
379,2008,Israel,46,15,278,141,480,0,0,126
380,2008,Ivory Coast,0,0,0,0,0,0,0,4
381,2008,Kenya,335,49,853,272,1509,67,3851758,273
382,2008,Lebanon,185,85,1878,573,2721,0,0,0
383,2008,Libya,61,48,873,252,1234,0,0,0
384,2008,Mali,750,354,1837,147,3088,0,0,11
385,2008,Mauritania,322,37,1231,163,1753,0,0,0
386,2008,Mexico,767,0,4281,5232,10280,14,520000,6
387,2008,Myanmar (Burma),0,0,0,0,0,0,0,51
388,2008,Nepal,518,72,1224,395,2209,115,250003,0
389,2008,Niger,34,12,266,70,382,0,0,10
390,2008,Nigeria,502,595,9659,3163,13919,0,0,146
391,2008,Pakistan,1038,228,14316,2182,17764,239,366084,561
392,2008,Peru,123,17,2541,251,2932,40,450012,0
393,2008,Philippines,42,0,460,170,672,0,0,116
394,2008,Russia (Soviet Union),0,0,0,0,0,0,0,17
395,2008,Senegal,90,66,1215,129,1500,1,23600,2
396,2008,Somalia,16200,8284,6272,7024,37780,0,0,431
397,2008,Spain,0,0,0,10,10,0,0,0
398,2008,Sri Lanka,4690,1260,6501,1556,14002,57,826905,249
399,2008,Sudan,1841,4027,2481,3380,11729,0,0,485
400,2008,Syria,0,0,0,0,0,0,0,0
401,2008,Thailand,5,0,78,91,174,39,1539573,67
402,2008,Turkey,1723,455,5970,1932,10080,2,300,27
403,2008,Uganda,249,33,508,198,988,49,30040,1
404,2008,Venezuela,0,0,0,0,0,0,0,25
405,2008,Yemen (North Yemen),0,0,0,0,0,0,0,7
406,2008,Zimbabwe (Rhodesia),0,0,0,0,0,0,0,248
407,2009,Afghanistan,7806,6013,13635,8471,35925,90,65857,1080
408,2009,Algeria,121,90,3172,1000,4383,33,2548,48
409,2009,Angola,174,170,1066,103,1513,62,220415,0
410,2009,Azerbaijan,441,117,1474,396,2428,0,0,0
411,2009,Bangladesh,570,199,9384,1810,11956,338,4504550,2
412,2009,Brazil,72,5,206,224,507,168,1168012,5
413,2009,Cambodia (Kampuchea),0,0,0,0,0,0,0,0
414,2009,Cameroon,775,96,2041,921,3830,0,0,0
415,2009,Central African Republic,0,0,0,0,0,4,13472,155
416,2009,Chad,880,11,786,1026,2703,6,12915,8
417,2009,China,8047,419,10315,11022,29787,425,67400403,11
418,2009,Colombia,30185,67,4990,1822,37064,53,31257,42
419,2009,Dem. Rep. of the Congo,11788,453,7671,2637,22549,0,0,3006
420,2009,Egypt,522,48,1119,811,2500,0,0,0
421,2009,Ethiopia,6100,339,5638,2497,14574,0,0,7
422,2009,Ghana,81,168,2980,940,4169,40,159545,0
423,2009,Guatemala,501,5,1673,5316,7495,36,3028,0
424,2009,Guinea,1017,460,3084,1111,5672,2,40000,160
425,2009,India,641,57,4972,2409,8079,1715,11095118,404
426,2009,Iran,0,0,0,0,0,0,0,30
427,2009,Iraq,14478,5521,20404,6707,47110,2,3000,587
428,2009,Israel,57,5,372,173,607,0,0,286
429,2009,Ivory Coast,0,0,0,0,0,0,0,1
430,2009,Kenya,673,46,1009,490,2218,56,136200,40
431,2009,Madagascar (Malagasy),0,0,0,0,0,0,0,31
432,2009,Mali,167,670,869,379,2085,25,20406,1
433,2009,Mauritania,379,54,1538,382,2353,1,10000,1
434,2009,Mexico,734,0,3768,6741,11243,21,104514,23
435,2009,Myanmar (Burma),0,0,0,0,0,0,0,20
436,2009,Nepal,640,65,1520,986,3211,87,257786,0
437,2009,Nigeria,713,854,15465,4464,21496,0,0,18
438,2009,Pakistan,1225,402,11790,2057,15474,102,75080,431
439,2009,Peru,109,15,1208,227,1559,524,261885,6
440,2009,Philippines,35,5,675,367,1082,0,0,99
441,2009,Russia (Soviet Union),0,0,0,0,0,0,0,24
442,2009,Rwanda,1675,33,972,5780,8460,0,0,2
443,2009,Senegal,132,120,976,341,1569,6,264000,8
444,2009,Somalia,11212,12692,7804,6294,38002,0,0,452
445,2009,Spain,0,0,10,10,20,0,0,0
446,2009,Sri Lanka,5289,1626,7140,1868,15923,3,300000,6683
447,2009,Sudan,5133,184,2693,3798,11808,0,0,405
448,2009,Tajikistan,38,5,88,81,212,21,15000,0
449,2009,Thailand,5,5,71,88,169,15,200000,91
450,2009,Turkey,1467,520,6187,1960,10134,58,35137,9
451,2009,Uganda,243,34,1482,170,1929,0,0,20
452,2009,United Kingdom,0,0,0,0,0,0,0,0
453,2009,Uzbekistan,531,99,1287,589,2506,0,0,0
454,2009,Venezuela,0,0,0,0,0,0,0,25
455,2009,Yemen (North Yemen),0,0,0,0,0,0,0,41
456,2009,Zimbabwe (Rhodesia),0,0,0,0,0,0,0,0
457,2010,Afghanistan,8469,7939,16511,8756,41675,315,46200,1157
458,2010,Algeria,119,83,3441,1290,4933,0,0,26
459,2010,Angola,280,167,1231,123,1801,25,114781,6
460,2010,Azerbaijan,430,190,2496,455,3571,3,70000,0
461,2010,Bangladesh,943,118,10037,656,11754,107,812390,1
462,2010,Brazil,69,5,216,241,531,363,244938,0
463,2010,Central African Republic,0,0,0,0,0,3,1585,103
464,2010,Chad,645,5,456,400,1506,24,144579,0
465,2010,Colombia,3739,6568,5778,20427,36512,418,2791999,47
