Unnamed: 0,year,country_origin,country_asylum,share_borders,female_0to4,female_5to11,female_12to17,female_18to59,female_60,female_other,Female total,male_0to4,male_5to11,male_12to17,male_18to59,unknown_demographic,male_60,male_other,Male total,total,recognized_decisions,complementary_protection,rejected,otherwise_closed,total_decisions
4718,2003,Angola,Dem. Rep. of the Congo,1,4069,4898,4198,9259,1019,0,23443,3990,5000,4284,7685,78500,812,0,21771,123714,18.0,0.0,18.0,134.0,170.0
14682,2007,Angola,Dem. Rep. of the Congo,1,0,0,0,0,0,0,0,0,0,0,0,112680,0,0,0,112680,5.0,0.0,0.0,0.0,5.0
17332,2008,Angola,Dem. Rep. of the Congo,1,0,0,0,0,0,0,0,0,0,0,0,111589,0,0,0,111589,0.0,0.0,5.0,0.0,5.0
9617,2005,Angola,Dem. Rep. of the Congo,1,5084,5647,4838,15019,1911,0,32499,5094,5843,5015,11830,45000,1491,0,29273,106772,5.0,0.0,5.0,21.0,31.0
7148,2004,Angola,Dem. Rep. of the Congo,1,1831,2494,2134,4615,377,0,11451,1814,2564,2203,3093,77000,258,0,9932,98383,0.0,0.0,10.0,0.0,10.0
7173,2004,Angola,Zambia,1,4235,4389,3761,7057,929,24990,45361,4638,3530,3028,7245,0,1031,24009,43481,88842,,,,,
20048,2009,Angola,Dem. Rep. of the Congo,1,5470,6143,5844,24162,3825,0,45444,5241,6511,6307,19879,0,992,0,38930,84374,,,,,
22811,2010,Angola,Dem. Rep. of the Congo,1,4529,8492,5329,19672,3263,0,41285,4594,8582,5868,16527,0,2761,0,38332,79617,,,,,
25653,2011,Angola,Dem. Rep. of the Congo,1,4381,8323,5225,19352,3221,0,40502,4460,8405,5791,16254,0,2732,0,37642,78144,,,,,
9640,2005,Angola,Zambia,1,2289,3095,2652,4212,720,0,12968,2661,2458,2101,5488,49000,792,0,13500,75468,,,,,
12148,2006,Angola,Zambia,1,2124,1410,2052,4298,705,0,10589,1508,1068,1564,3377,24000,569,0,8086,42675,,,,,
14707,2007,Angola,Zambia,1,2116,1422,2057,4306,705,0,10606,1489,1084,1621,3375,22000,582,0,8151,40757,,,,,
154,2001,Angola,Namibia,1,2234,1968,1682,3932,249,0,10065,2222,2214,1897,4264,9996,223,0,10820,30881,,,,,
17358,2008,Angola,Zambia,1,2000,1883,1594,3633,400,0,9510,1917,1847,1512,3584,8230,531,0,9391,27131,,,,,
20075,2009,Angola,Zambia,1,1834,2002,1155,3248,349,0,8588,1725,1475,1555,3257,8229,500,0,8512,25329,,,,,
22838,2010,Angola,Zambia,1,2123,2798,2002,4942,610,0,12475,2001,2845,1823,5245,0,876,0,12790,25265,39.0,0.0,0.0,0.0,39.0
25679,2011,Angola,Zambia,1,1796,2728,1925,4560,564,0,11573,1714,2750,1756,4874,0,833,0,11927,23500,,,,,
2376,2002,Angola,Namibia,1,1361,1810,1551,2816,254,0,7792,1320,2010,1723,2587,6000,204,0,7844,21636,,,,,
4730,2003,Angola,Namibia,1,1158,1323,1134,2020,143,0,5778,1123,1496,1282,2032,6000,103,0,6036,17814,,,,,
2360,2002,Angola,Congo,1,275,1892,1623,4776,709,0,9275,482,1547,1325,4974,0,143,0,8471,17746,0.0,0.0,0.0,10.0,10.0
139,2001,Angola,Congo,1,317,259,232,820,63,0,1691,331,366,315,685,14261,96,0,1793,17745,,,,,
7159,2004,Angola,Namibia,1,628,685,587,1138,83,0,3121,586,762,652,1449,6000,48,0,3497,12618,,,,,
57758,2021,Angola,France,0,0,0,0,0,0,0,0,0,0,0,0,6704,0,0,0,6704,141.0,172.0,2505.0,64.0,2882.0
20061,2009,Angola,Namibia,1,440,597,497,1248,50,0,2832,454,594,516,1471,0,57,0,3092,5924,,,,,
17344,2008,Angola,Namibia,1,452,632,485,1221,50,0,2840,452,617,518,1435,0,54,0,3076,5916,,,,,
22824,2010,Angola,Namibia,1,465,585,496,1229,48,0,2823,473,590,509,1453,0,56,0,3081,5904,,,,,
22831,2010,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5808,0,0,0,5808,50.0,0.0,27.0,0.0,77.0
25672,2011,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5808,0,0,0,5808,18.0,0.0,0.0,0.0,18.0
28562,2012,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5805,0,0,0,5805,0.0,0.0,63.0,0.0,63.0
7166,2004,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5774,0,0,0,5774,34.0,0.0,14.0,0.0,48.0
4737,2003,Angola,South Africa,0,24,75,64,291,0,0,454,32,108,92,458,4629,0,0,690,5773,491.0,0.0,26.0,0.0,517.0
9633,2005,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5764,0,0,0,5764,11.0,0.0,14.0,32.0,57.0
12141,2006,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5759,0,0,0,5759,0.0,0.0,161.0,0.0,161.0
20068,2009,Angola,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,5758,0,0,0,5758,5.0,0.0,134.0,0.0,139.0
2602,2002,Burundi,United Rep. of Tanzania,1,37981,34901,29916,75838,3698,94596,276930,37843,35711,30612,78950,0,4045,76770,263931,540861,,,,,
361,2001,Burundi,United Rep. of Tanzania,1,35876,33069,28344,71861,3507,94583,267240,36115,33971,29117,74442,0,3536,76759,253940,521180,,,,,
4957,2003,Burundi,United Rep. of Tanzania,1,40302,29574,25348,61907,3146,0,160277,40208,30325,26000,63824,170000,3575,0,163932,494209,,,,,
7389,2004,Burundi,United Rep. of Tanzania,1,26232,22538,19316,52176,1785,0,122047,26216,22891,19620,52512,198231,2189,0,123428,443706,,,,,
9857,2005,Burundi,United Rep. of Tanzania,1,20613,18489,15848,40431,1869,0,97250,22280,17920,15357,40265,198228,2311,0,98133,393611,,,,,
12366,2006,Burundi,United Rep. of Tanzania,1,23100,24466,34323,77408,2568,0,161865,26022,28192,45824,87752,0,2985,0,190775,352640,,,,,
14935,2007,Burundi,United Rep. of Tanzania,1,31163,30143,33305,71594,4899,0,171104,31063,30015,32361,66397,0,5337,0,165173,336277,302.0,0.0,0.0,0.0,302.0
44353,2017,Burundi,United Rep. of Tanzania,1,24640,27965,16822,53929,3656,0,127012,23649,26424,16633,54529,0,2980,0,124215,251227,26.0,0.0,0.0,0.0,26.0
17592,2008,Burundi,United Rep. of Tanzania,1,22428,29145,14998,52089,3912,0,122572,22366,19305,24361,47900,0,3976,0,117908,240480,39.0,0.0,0.0,0.0,39.0
41094,2016,Burundi,United Rep. of Tanzania,1,22421,24344,19129,44044,2699,0,112637,22906,24871,20632,47186,0,2618,0,118213,230850,14.0,0.0,0.0,0.0,14.0
47680,2018,Burundi,United Rep. of Tanzania,1,22556,23127,15705,43637,2774,0,107799,22796,23876,15688,48468,0,2727,0,113555,221354,0.0,0.0,0.0,6074.0,6074.0
51083,2019,Burundi,United Rep. of Tanzania,1,19858,19710,13775,40192,2225,0,95760,19765,20475,13823,40024,0,2384,0,96471,192231,,,,,
54535,2020,Burundi,United Rep. of Tanzania,1,17987,18335,13018,39816,2340,0,91496,17843,18640,13282,39759,0,2495,0,92019,183515,30.0,0.0,0.0,1497.0,1527.0
37864,2015,Burundi,United Rep. of Tanzania,1,13135,15656,17450,32664,2001,0,80906,13113,13592,16211,29823,0,2110,0,74849,155755,0.0,0.0,37.0,0.0,37.0
58043,2021,Burundi,United Rep. of Tanzania,1,15245,15451,10938,32982,2153,0,76769,15372,15879,11207,33639,0,2306,0,78403,155172,0.0,0.0,0.0,1646.0,1646.0
44339,2017,Burundi,Rwanda,1,6150,7976,5406,22987,1103,0,43622,6440,8153,5766,23310,0,918,0,44587,88209,0.0,0.0,0.0,12.0,12.0
41083,2016,Burundi,Rwanda,1,5811,7627,5295,21044,1181,0,40958,6080,7764,5596,21821,0,667,0,41928,82886,,,,,
51072,2019,Burundi,Rwanda,1,6192,5970,4192,15697,1162,0,33213,6234,6452,4378,20307,0,904,0,38275,71488,5.0,0.0,0.0,19.0,24.0
37854,2015,Burundi,Rwanda,1,5154,6752,4713,18185,1023,0,35827,5428,6785,4922,17338,0,548,0,35021,70848,5.0,0.0,0.0,0.0,5.0
47668,2018,Burundi,Rwanda,1,6023,6129,3997,14951,957,0,32057,6193,6418,4307,18607,0,698,0,36223,68280,25.0,0.0,0.0,44.0,69.0
25915,2011,Burundi,United Rep. of Tanzania,1,5688,7260,5951,13331,759,0,32989,5760,7673,5931,14266,0,930,0,34560,67549,0.0,0.0,5.0,17.0,22.0
54522,2020,Burundi,Rwanda,1,5784,5636,3835,13842,1018,0,30115,5811,6001,3971,17540,809,790,0,34113,65037,0.0,0.0,0.0,16.0,16.0
20306,2009,Burundi,United Rep. of Tanzania,1,5588,6360,3367,8610,825,0,24750,6967,7988,4531,8955,0,632,0,29073,53823,5.0,0.0,0.0,174.0,179.0
54533,2020,Burundi,Uganda,0,4599,5113,3027,10239,596,0,23574,4495,5168,3062,11649,0,518,0,24892,48466,3624.0,0.0,161.0,462.0,4247.0
58030,2021,Burundi,Rwanda,1,3795,3909,2590,10336,690,0,21320,3782,4126,2733,14466,841,616,0,25723,47884,23.0,0.0,0.0,0.0,23.0
51045,2019,Burundi,Dem. Rep. of the Congo,1,4777,6500,3473,9243,490,0,24483,4767,6567,3442,7902,0,409,0,23087,47570,2725.0,0.0,0.0,0.0,2725.0
23073,2010,Burundi,United Rep. of Tanzania,1,4579,5785,4012,8277,319,0,22972,4617,5675,4137,8497,1079,373,0,23299,47350,,,,,
54494,2020,Burundi,Dem. Rep. of the Congo,1,4194,6792,3516,9211,429,0,24142,4211,6827,3515,7762,0,372,0,22687,46829,0.0,0.0,0.0,1663.0,1663.0
58041,2021,Burundi,Uganda,0,4142,4878,3003,9750,573,0,22346,4004,4871,3125,11248,0,515,0,23763,46109,553.0,0.0,143.0,0.0,696.0
44312,2017,Burundi,Dem. Rep. of the Congo,1,4874,5976,2831,8712,399,0,22792,5023,5949,2745,7647,0,294,0,21658,44450,61.0,62.0,20.0,156.0,299.0
51081,2019,Burundi,Uganda,0,4425,4460,2747,9177,513,0,21322,4329,4534,2748,10512,0,443,0,22566,43888,8619.0,0.0,410.0,0.0,9029.0
47642,2018,Burundi,Dem. Rep. of the Congo,1,4338,5903,3065,8411,435,0,22152,4464,5948,3004,7093,0,349,0,20858,43010,26.0,0.0,5.0,0.0,31.0
58001,2021,Burundi,Dem. Rep. of the Congo,1,3939,5617,3116,7964,420,0,21056,3968,5622,3156,6828,0,401,0,19975,41031,215.0,0.0,12.0,0.0,227.0
41091,2016,Burundi,Uganda,0,3414,4023,2461,8776,429,176,19279,3405,4248,2472,11136,0,378,94,21733,41012,671.0,0.0,25.0,573.0,1269.0
44350,2017,Burundi,Uganda,0,3014,3772,2359,8244,394,634,18417,3042,3951,2379,9812,0,302,342,19828,38245,5045.0,0.0,78.0,878.0,6001.0
41057,2016,Burundi,Dem. Rep. of the Congo,1,4562,4064,2038,7447,346,0,18457,4484,4209,2062,6897,0,223,0,17875,36332,10.0,0.0,0.0,0.0,10.0
28805,2012,Burundi,United Rep. of Tanzania,1,2637,3383,3493,7349,646,0,17508,2439,3451,3519,7661,0,765,0,17835,35343,,,,,
31724,2013,Burundi,United Rep. of Tanzania,1,3280,3671,3551,6467,748,0,17717,2843,3921,3386,6577,0,739,0,17466,35183,12.0,0.0,0.0,0.0,12.0
34724,2014,Burundi,United Rep. of Tanzania,1,2528,3504,3617,6559,582,0,16790,2461,3672,3566,7098,0,726,0,17523,34313,5.0,0.0,23.0,0.0,28.0
47678,2018,Burundi,Uganda,0,2886,3517,2050,7082,380,0,15915,2905,3514,2077,7800,0,307,0,16603,32518,1271.0,0.0,52.0,976.0,2299.0
58142,2021,Central African Rep.,Cameroon,1,21163,42501,26321,78556,5654,0,174195,22008,42682,25750,63019,0,6224,0,159683,333878,783.0,0.0,5.0,711.0,1499.0
54631,2020,Central African Rep.,Cameroon,1,22051,39687,23910,73248,5329,0,164225,22962,39845,23584,59623,0,5889,0,151903,316128,1433.0,0.0,17.0,2510.0,3960.0
51178,2019,Central African Rep.,Cameroon,1,21622,35823,22042,67780,4799,0,152066,22382,35998,21874,55047,0,5400,0,140701,292767,1612.0,0.0,61.0,224.0,1897.0
41172,2016,Central African Rep.,Cameroon,1,16847,36207,24027,68682,4481,0,150244,17229,36163,23459,51030,0,5477,0,133358,283602,2813.0,0.0,83.0,1728.0,4624.0
47765,2018,Central African Rep.,Cameroon,1,19739,33150,21009,64594,4600,0,143092,20450,33286,20968,51546,0,5346,0,131596,274688,2464.0,0.0,110.0,63.0,2637.0
37941,2015,Central African Rep.,Cameroon,1,19410,36609,24579,57639,3495,0,141732,19654,36199,22100,43260,0,4518,0,125731,267463,5796.0,0.0,138.0,4237.0,10171.0
44435,2017,Central African Rep.,Cameroon,1,23445,31064,16648,55588,3830,0,130575,24061,31005,16239,42506,0,4457,0,118268,248843,1253.0,0.0,299.0,94.0,1646.0
34795,2014,Central African Rep.,Cameroon,1,14754,28550,18667,50578,3106,0,115655,14835,28264,17498,37762,2501,4187,0,102546,220702,3942.0,0.0,162.0,896.0,5000.0
58148,2021,Central African Rep.,Dem. Rep. of the Congo,1,16509,30193,16759,46853,3333,0,113647,15787,29749,16330,34740,0,2377,0,98983,212630,43679.0,0.0,11.0,516.0,44206.0
44440,2017,Central African Rep.,Dem. Rep. of the Congo,1,21716,23925,10716,38829,2522,0,97708,21233,23489,10873,26857,0,1757,0,84209,181917,10.0,0.0,0.0,0.0,10.0
54637,2020,Central African Rep.,Dem. Rep. of the Congo,1,15365,25212,12383,37680,2531,0,93171,15121,24739,12470,26504,0,1726,0,80560,173731,0.0,0.0,20.0,22.0,42.0
47771,2018,Central African Rep.,Dem. Rep. of the Congo,1,18732,23605,10595,37408,2300,0,92640,18601,23270,10718,25312,0,1470,0,79371,172011,24.0,0.0,34.0,0.0,58.0
51184,2019,Central African Rep.,Dem. Rep. of the Congo,1,15120,24760,11993,37221,2458,0,91552,14867,24365,12136,26641,0,1673,0,79682,171234,1254.0,0.0,0.0,0.0,1254.0
58144,2021,Central African Rep.,Chad,1,8488,15148,9530,28336,2293,0,63795,8622,15223,9239,19992,4910,1539,0,54615,123320,0.0,157.0,0.0,0.0,157.0
37946,2015,Central African Rep.,Dem. Rep. of the Congo,1,12577,13749,5838,22689,1203,0,56056,12277,13381,6579,18908,0,728,0,51873,107929,25.0,0.0,24.0,16.0,65.0
31798,2013,Central African Rep.,Cameroon,1,7378,13283,9468,22550,1438,0,54117,7424,13556,9107,16039,1697,1952,0,48078,103892,72.0,0.0,136.0,237.0,445.0
41177,2016,Central African Rep.,Dem. Rep. of the Congo,1,12524,13802,5639,21617,1250,0,54832,12229,13420,5813,15435,0,760,0,47657,102489,5.0,0.0,0.0,0.0,5.0
47767,2018,Central African Rep.,Chad,1,8267,12962,8029,23237,1895,0,54390,8452,13101,7843,16967,0,1334,0,47697,102087,287.0,0.0,5.0,47.0,339.0
54633,2020,Central African Rep.,Chad,1,7187,12030,8143,22867,1863,0,52090,7382,12284,7857,15945,0,1325,0,44793,96883,32.0,0.0,0.0,20.0,52.0
51180,2019,Central African Rep.,Chad,1,7548,11989,7490,21717,1692,0,50436,7814,12126,7260,14908,0,1167,0,43275,93711,57.0,0.0,0.0,567.0,624.0
28878,2012,Central African Rep.,Cameroon,1,6107,12052,8531,20794,1022,0,48506,6223,12315,8340,15058,0,1652,0,43588,92094,69.0,0.0,261.0,1248.0,1578.0
34797,2014,Central African Rep.,Chad,1,7656,12382,7974,19894,1322,0,49228,7759,11830,8019,13961,0,986,0,42555,91783,887.0,0.0,0.0,0.0,887.0
25994,2011,Central African Rep.,Cameroon,1,6463,12398,7770,19988,938,0,47557,6623,12601,7443,14449,0,1503,0,42619,90176,473.0,0.0,212.0,325.0,1010.0
23149,2010,Central African Rep.,Cameroon,1,7376,12617,6874,19577,900,0,47344,7546,12743,6532,14345,0,1417,0,42583,89927,984.0,0.0,90.0,141.0,1215.0
20378,2009,Central African Rep.,Cameroon,1,7225,12493,6146,18695,785,0,45344,7302,12561,5711,13615,0,1291,0,40480,85824,1238.0,0.0,92.0,485.0,1815.0
31800,2013,Central African Rep.,Chad,1,6538,10190,7169,14419,995,0,39311,6518,9738,6832,9509,7931,706,0,33303,80545,62.0,0.0,0.0,0.0,62.0
44437,2017,Central African Rep.,Chad,1,5230,6591,17632,9898,1466,0,40817,5357,6656,12972,9799,0,1052,0,35836,76653,199.0,0.0,0.0,0.0,199.0
20380,2009,Central African Rep.,Chad,1,6114,8178,4636,13026,1690,0,33644,5428,7627,4518,8872,9648,1278,0,27723,71015,0.0,0.0,5.0,0.0,5.0
41174,2016,Central African Rep.,Chad,1,5464,9169,5790,15845,1330,0,37598,5489,9015,5847,11353,0,921,0,32625,70223,901.0,0.0,10.0,10.0,921.0
23151,2010,Central African Rep.,Chad,1,4697,8369,5448,15078,2120,0,35712,3928,7602,5464,10168,5000,1554,0,28716,69428,0.0,0.0,0.0,5.0,5.0
34800,2014,Central African Rep.,Dem. Rep. of the Congo,1,7163,7539,4163,14428,962,0,34255,7276,7380,5265,13282,0,707,0,33910,68165,,,,,
25996,2011,Central African Rep.,Chad,1,5223,9749,5576,14617,1214,0,36379,5034,9558,5554,9473,500,916,0,30535,67414,948.0,0.0,0.0,0.0,948.0
17662,2008,Central African Rep.,Cameroon,1,6319,9264,4338,14310,600,0,34831,6526,9489,3781,10903,0,1072,0,31771,66602,688.0,0.0,187.0,495.0,1370.0
28880,2012,Central African Rep.,Chad,1,3957,7490,5941,13164,933,0,31485,3919,7211,5927,9131,7500,701,0,26889,65874,1585.0,0.0,0.0,0.0,1585.0
37943,2015,Central African Rep.,Chad,1,3830,8664,5465,14816,1282,0,34057,3871,8570,5553,10447,0,899,0,29340,63397,1041.0,0.0,15.0,0.0,1056.0
17664,2008,Central African Rep.,Chad,1,4276,7086,3917,9718,517,0,25514,4135,7011,3877,6701,9563,457,0,22181,57258,0.0,0.0,5.0,0.0,5.0
31803,2013,Central African Rep.,Dem. Rep. of the Congo,1,5328,5635,3446,11984,970,0,27363,5306,5532,4254,10249,0,681,0,26022,53385,5.0,0.0,0.0,0.0,5.0
15006,2007,Central African Rep.,Cameroon,1,4267,6564,3278,10480,425,0,25014,4243,6854,2885,8660,0,842,0,23484,48498,998.0,0.0,441.0,622.0,2061.0
12434,2006,Central African Rep.,Chad,1,3897,7186,3451,9560,529,0,24623,3827,7042,3391,6559,2538,420,0,21239,48400,0.0,0.0,5.0,0.0,5.0
15008,2007,Central African Rep.,Chad,1,0,0,0,0,0,0,0,0,0,0,0,46176,0,0,0,46176,,,,,
38026,2015,China,India,1,0,0,0,0,0,0,0,0,0,0,5,110093,0,0,5,110098,,,,,
41258,2016,China,India,1,0,0,0,0,0,0,0,0,0,0,5,110093,0,0,5,110098,,,,,
34875,2014,China,India,1,0,0,0,0,0,0,0,0,0,0,5,109013,0,0,5,109018,,,,,
44523,2017,China,India,1,0,0,0,0,0,0,0,0,0,0,5,108003,0,0,5,108008,,,,,
47858,2018,China,India,1,0,0,0,0,0,0,0,0,0,0,5,108003,0,0,5,108008,,,,,
51277,2019,China,India,1,0,0,0,0,0,0,0,0,0,0,5,108003,0,0,5,108008,,,,,
17729,2008,China,India,1,0,0,0,0,0,0,0,0,0,0,5,99998,0,0,5,100003,,,,,
20447,2009,China,India,1,0,0,0,0,0,0,0,0,0,0,5,99998,0,0,5,100003,,,,,
23223,2010,China,India,1,0,0,0,0,0,0,0,0,0,0,5,99998,0,0,5,100003,,,,,
